;;UNITS;VALUE
Parking_lot;PL_Max_charging;kW;22
Parking_lot;PL_var_cost;€/nb;1000
Parking_lot;PL_oper_cost;%inv;0,03
Parking_lot;PL_charging_eff;p.u.;0,95
Parking_lot;PL_discharging_eff;p.u.;0,95
Parking_lot;PL_Nb_lots;nb;8
Parking_lot;PL_Penalization;€/h;2
Solar_plant;SP_fix_cost;€;1000
Solar_plant;SP_var_cost;€/kW;1500
Solar_plant;SP_oper_cost;%inv;0,02
Solar_plant;SP_max_power;kW;60
Battery_storage;BS_fix_cost;€;1000
Battery_storage;BS_var_cost_P;€/kW;400
Battery_storage;BS_var_cost_W;€/kWh;200
Battery_storage;BS_oper_cost;%inv;0,02
Battery_storage;BS_max_power;kW;600
Battery_storage;BS_max_capacity;kWh;1000
Battery_storage;BS_charging_eff;p.u.;0,95
Battery_storage;BS_discharging_eff;p.u.;0,95
Battery_storage;BS_DoD;p.u.;0,1
Battery_storage;BS_CC_CV_switch;p.u.;0,9
Battery_storage;BS_replacement_year;years;10
Battery_storage;BS_replacement_perc;p.u.;0,3
Grid_connection;GC_var_cost;€/kW;225
Grid_tariff;GT_HT_cost;€/kWh;0,029199
Grid_tariff;GT_LT_cost;€/kWh;0,013272
Grid_tariff;GT_Peak_cost;€/kW;5,176
Grid_tariff;GT_RES_incentive;€/kWh;0,014
Grid_tariff;GT_Fix_tariff;€/month;5,481
Grid_tariff;GT_annual_growth;%;0,02
Energy_price;EP_HT_cost;€/kWh;0,285854
Energy_price;EP_LT_cost;€/kWh;0,16815
Energy_price;EP_annual_growth;%;0,02
Financial_parameters;FP_discount_rate;%;0,07
Financial_parameters;FP_lifetime;years;25
Financial_parameters;FP_loan_ratio;%;0,3
Financial_parameters;FP_interest_rate;%;0,05
Financial_parameters;FP_payback_time;years;10
Building_objects;BO_P_contracted_OD;kW;150
